id,text,sentiment
546,I love this!,Positive
547,It's okay.,Neutral
548,Worst thing ever.,Negative
549,It's okay.,Neutral
550,It's just fine.,Neutral
551,I love this!,Positive
552,"Not bad, not great.",Neutral
553,It's okay.,Neutral
554,Terrible experience.,Negative
555,Amazing experience!,Positive
556,This is fantastic!,Positive
557,Amazing experience!,Positive
558,It's okay.,Neutral
559,I love this!,Positive
560,This is fantastic!,Positive
561,I love this!,Positive
562,Nothing special.,Neutral
563,"Not bad, not great.",Neutral
564,It's just fine.,Neutral
565,It's okay.,Neutral
566,Really disappointed.,Negative
567,Really disappointed.,Negative
568,I hate this.,Negative
569,Amazing experience!,Positive
570,I love this!,Positive
571,Terrible experience.,Negative
572,"Not bad, not great.",Neutral
573,This is fantastic!,Positive
574,Amazing experience!,Positive
575,Nothing special.,Neutral
576,Average at best.,Neutral
577,It's okay.,Neutral
578,"Not bad, not great.",Neutral
579,I hate this.,Negative
580,Average at best.,Neutral
581,Absolutely thrilled with this!,Positive
582,It's just fine.,Neutral
583,This is fantastic!,Positive
584,Nothing special.,Neutral
585,Average at best.,Neutral
586,"Well done, great job!",Positive
587,It's just fine.,Neutral
588,Nothing special.,Neutral
589,"Not bad, not great.",Neutral
590,Absolutely thrilled with this!,Positive
591,Nothing special.,Neutral
592,Never buying this again.,Negative
593,It's okay.,Neutral
594,"Not bad, not great.",Neutral
595,Never buying this again.,Negative
596,I hate this.,Negative
597,Terrible experience.,Negative
598,This is fantastic!,Positive
599,I hate this.,Negative
600,Worst thing ever.,Negative
601,Terrible experience.,Negative
602,This is fantastic!,Positive
603,Amazing experience!,Positive
604,I love this!,Positive
605,Terrible experience.,Negative
606,Never buying this again.,Negative
607,Nothing special.,Neutral
608,Never buying this again.,Negative
609,Terrible experience.,Negative
610,Terrible experience.,Negative
611,Terrible experience.,Negative
612,This is fantastic!,Positive
613,Never buying this again.,Negative
614,"Well done, great job!",Positive
615,It's okay.,Neutral
616,I love this!,Positive
617,I hate this.,Negative
618,It's okay.,Neutral
619,This is fantastic!,Positive
620,I hate this.,Negative
621,Worst thing ever.,Negative
622,This is fantastic!,Positive
623,Average at best.,Neutral
624,Never buying this again.,Negative
625,I love this!,Positive
626,I love this!,Positive
627,Amazing experience!,Positive
628,This is fantastic!,Positive
629,I love this!,Positive
630,Worst thing ever.,Negative
631,It's just fine.,Neutral
632,Average at best.,Neutral
633,This is fantastic!,Positive
634,"Not bad, not great.",Neutral
635,Nothing special.,Neutral
636,This is fantastic!,Positive
637,Terrible experience.,Negative
638,Amazing experience!,Positive
639,I hate this.,Negative
640,"Well done, great job!",Positive
641,This is fantastic!,Positive
642,Nothing special.,Neutral
643,Nothing special.,Neutral
644,Terrible experience.,Negative
645,It's just fine.,Neutral
646,It's just fine.,Neutral
647,Nothing special.,Neutral
648,Amazing experience!,Positive
649,Average at best.,Neutral
650,I love this!,Positive
651,This is fantastic!,Positive
652,Average at best.,Neutral
653,Average at best.,Neutral
654,Never buying this again.,Negative
655,Really disappointed.,Negative
656,Worst thing ever.,Negative
657,It's just fine.,Neutral
658,Terrible experience.,Negative
659,It's okay.,Neutral
660,Amazing experience!,Positive
661,Amazing experience!,Positive
662,It's okay.,Neutral
663,I love this!,Positive
664,Never buying this again.,Negative
665,Absolutely thrilled with this!,Positive
666,I love this!,Positive
667,Absolutely thrilled with this!,Positive
668,Absolutely thrilled with this!,Positive
669,It's just fine.,Neutral
670,It's okay.,Neutral
671,Amazing experience!,Positive
672,"Not bad, not great.",Neutral
673,Worst thing ever.,Negative
674,I hate this.,Negative
675,Average at best.,Neutral
676,Never buying this again.,Negative
677,Terrible experience.,Negative
678,This is fantastic!,Positive
679,Worst thing ever.,Negative
680,Terrible experience.,Negative
681,Really disappointed.,Negative
682,"Not bad, not great.",Neutral
683,Amazing experience!,Positive
684,Absolutely thrilled with this!,Positive
685,Absolutely thrilled with this!,Positive
686,Never buying this again.,Negative
687,Nothing special.,Neutral
688,Amazing experience!,Positive
689,Really disappointed.,Negative
690,"Well done, great job!",Positive
691,"Not bad, not great.",Neutral
692,Never buying this again.,Negative
693,Worst thing ever.,Negative
694,It's just fine.,Neutral
695,Worst thing ever.,Negative
696,Absolutely thrilled with this!,Positive
697,It's okay.,Neutral
698,Nothing special.,Neutral
699,This is fantastic!,Positive
700,Average at best.,Neutral
701,Amazing experience!,Positive
702,"Well done, great job!",Positive
703,It's just fine.,Neutral
704,Worst thing ever.,Negative
705,This is fantastic!,Positive
706,I love this!,Positive
707,"Not bad, not great.",Neutral
708,"Not bad, not great.",Neutral
709,Never buying this again.,Negative
710,Average at best.,Neutral
711,Nothing special.,Neutral
712,It's just fine.,Neutral
713,I love this!,Positive
714,I love this!,Positive
715,Amazing experience!,Positive
716,Worst thing ever.,Negative
717,Amazing experience!,Positive
718,It's just fine.,Neutral
719,Average at best.,Neutral
720,It's just fine.,Neutral
721,I hate this.,Negative
722,"Not bad, not great.",Neutral
723,"Not bad, not great.",Neutral
724,"Well done, great job!",Positive
725,I love this!,Positive
726,Really disappointed.,Negative
727,It's just fine.,Neutral
728,I love this!,Positive
729,Average at best.,Neutral
730,"Not bad, not great.",Neutral
731,Terrible experience.,Negative
732,"Well done, great job!",Positive
733,"Well done, great job!",Positive
734,Terrible experience.,Negative
735,Absolutely thrilled with this!,Positive
736,It's okay.,Neutral
737,Average at best.,Neutral
738,Amazing experience!,Positive
739,Nothing special.,Neutral
740,Never buying this again.,Negative
741,Really disappointed.,Negative
742,Worst thing ever.,Negative
743,Never buying this again.,Negative
744,Worst thing ever.,Negative
745,It's just fine.,Neutral
746,I hate this.,Negative
747,It's just fine.,Neutral
748,Nothing special.,Neutral
749,This is fantastic!,Positive
750,Really disappointed.,Negative
751,It's okay.,Neutral
752,"Not bad, not great.",Neutral
753,Really disappointed.,Negative
754,It's just fine.,Neutral
755,Never buying this again.,Negative
756,Worst thing ever.,Negative
757,This is fantastic!,Positive
758,Worst thing ever.,Negative
759,It's okay.,Neutral
760,Really disappointed.,Negative
761,Nothing special.,Neutral
762,Average at best.,Neutral
763,This is fantastic!,Positive
764,Nothing special.,Neutral
765,I love this!,Positive
766,Terrible experience.,Negative
767,Nothing special.,Neutral
768,"Not bad, not great.",Neutral
769,Average at best.,Neutral
770,This is fantastic!,Positive
771,"Well done, great job!",Positive
772,Terrible experience.,Negative
773,Really disappointed.,Negative
774,Absolutely thrilled with this!,Positive
775,This is fantastic!,Positive
776,Never buying this again.,Negative
777,I love this!,Positive
778,I hate this.,Negative
779,It's just fine.,Neutral
780,Amazing experience!,Positive
781,Worst thing ever.,Negative
782,I hate this.,Negative
783,Terrible experience.,Negative
784,"Not bad, not great.",Neutral
785,Never buying this again.,Negative
786,Really disappointed.,Negative
787,It's just fine.,Neutral
788,Amazing experience!,Positive
789,I hate this.,Negative
790,Never buying this again.,Negative
791,It's okay.,Neutral
792,I love this!,Positive
793,Absolutely thrilled with this!,Positive
794,"Well done, great job!",Positive
795,It's okay.,Neutral
796,Terrible experience.,Negative
797,Never buying this again.,Negative
798,Nothing special.,Neutral
799,"Not bad, not great.",Neutral
800,Really disappointed.,Negative
801,"Well done, great job!",Positive
802,Terrible experience.,Negative
803,Absolutely thrilled with this!,Positive
804,Really disappointed.,Negative
805,Worst thing ever.,Negative
806,Worst thing ever.,Negative
807,Really disappointed.,Negative
808,Worst thing ever.,Negative
809,I hate this.,Negative
810,It's okay.,Neutral
811,Terrible experience.,Negative
812,"Not bad, not great.",Neutral
813,Terrible experience.,Negative
814,Really disappointed.,Negative
815,I love this!,Positive
816,Nothing special.,Neutral
817,Amazing experience!,Positive
818,I love this!,Positive
819,"Well done, great job!",Positive
820,I love this!,Positive
821,This is fantastic!,Positive
822,Really disappointed.,Negative
823,Absolutely thrilled with this!,Positive
824,I hate this.,Negative
825,It's just fine.,Neutral
826,Terrible experience.,Negative
827,It's just fine.,Neutral
828,Terrible experience.,Negative
829,I hate this.,Negative
830,Amazing experience!,Positive
831,It's just fine.,Neutral
832,Absolutely thrilled with this!,Positive
833,Nothing special.,Neutral
834,Average at best.,Neutral
835,Absolutely thrilled with this!,Positive
836,I love this!,Positive
837,I hate this.,Negative
838,"Well done, great job!",Positive
839,Absolutely thrilled with this!,Positive
840,Worst thing ever.,Negative
841,Average at best.,Neutral
842,Average at best.,Neutral
843,It's okay.,Neutral
844,Amazing experience!,Positive
845,Never buying this again.,Negative
846,Amazing experience!,Positive
847,Average at best.,Neutral
848,Nothing special.,Neutral
849,"Well done, great job!",Positive
850,Average at best.,Neutral
851,Absolutely thrilled with this!,Positive
852,It's okay.,Neutral
853,It's just fine.,Neutral
854,Terrible experience.,Negative
855,Average at best.,Neutral
856,Really disappointed.,Negative
857,Absolutely thrilled with this!,Positive
858,Worst thing ever.,Negative
859,Average at best.,Neutral
860,Absolutely thrilled with this!,Positive
861,I hate this.,Negative
862,Amazing experience!,Positive
863,Terrible experience.,Negative
864,Nothing special.,Neutral
865,Nothing special.,Neutral
866,Amazing experience!,Positive
867,It's okay.,Neutral
868,Nothing special.,Neutral
869,Worst thing ever.,Negative
870,Terrible experience.,Negative
871,Amazing experience!,Positive
872,It's just fine.,Neutral
873,Worst thing ever.,Negative
874,Never buying this again.,Negative
875,It's just fine.,Neutral
876,Worst thing ever.,Negative
877,"Not bad, not great.",Neutral
878,It's just fine.,Neutral
879,Never buying this again.,Negative
880,Nothing special.,Neutral
881,It's just fine.,Neutral
882,Really disappointed.,Negative
883,It's okay.,Neutral
884,Really disappointed.,Negative
885,Never buying this again.,Negative
886,Amazing experience!,Positive
887,I hate this.,Negative
888,I love this!,Positive
889,Terrible experience.,Negative
890,Amazing experience!,Positive
891,Absolutely thrilled with this!,Positive
892,It's okay.,Neutral
893,"Well done, great job!",Positive
894,Absolutely thrilled with this!,Positive
895,It's okay.,Neutral
896,Average at best.,Neutral
897,It's just fine.,Neutral
898,It's okay.,Neutral
899,Absolutely thrilled with this!,Positive
900,Never buying this again.,Negative
901,Worst thing ever.,Negative
902,"Not bad, not great.",Neutral
903,"Not bad, not great.",Neutral
904,Absolutely thrilled with this!,Positive
905,I love this!,Positive
906,"Not bad, not great.",Neutral
907,Average at best.,Neutral
908,Worst thing ever.,Negative
909,"Not bad, not great.",Neutral
910,Terrible experience.,Negative
911,Nothing special.,Neutral
912,"Not bad, not great.",Neutral
913,Worst thing ever.,Negative
914,Amazing experience!,Positive
915,Terrible experience.,Negative
916,I hate this.,Negative
917,Worst thing ever.,Negative
918,Nothing special.,Neutral
919,I hate this.,Negative
920,I love this!,Positive
921,I love this!,Positive
922,It's okay.,Neutral
923,Terrible experience.,Negative
924,Average at best.,Neutral
925,"Well done, great job!",Positive
926,Really disappointed.,Negative
927,Really disappointed.,Negative
928,Absolutely thrilled with this!,Positive
929,This is fantastic!,Positive
930,Average at best.,Neutral
931,Worst thing ever.,Negative
932,Worst thing ever.,Negative
933,"Not bad, not great.",Neutral
934,"Well done, great job!",Positive
935,It's okay.,Neutral
936,It's okay.,Neutral
937,Absolutely thrilled with this!,Positive
938,Really disappointed.,Negative
939,It's just fine.,Neutral
940,This is fantastic!,Positive
941,Terrible experience.,Negative
942,Really disappointed.,Negative
943,"Well done, great job!",Positive
944,Absolutely thrilled with this!,Positive
945,This is fantastic!,Positive
946,Worst thing ever.,Negative
947,Terrible experience.,Negative
948,Never buying this again.,Negative
949,Amazing experience!,Positive
950,"Not bad, not great.",Neutral
951,Really disappointed.,Negative
952,Amazing experience!,Positive
953,I love this!,Positive
954,Nothing special.,Neutral
955,I hate this.,Negative
956,Really disappointed.,Negative
957,I hate this.,Negative
958,Average at best.,Neutral
959,Average at best.,Neutral
960,Average at best.,Neutral
961,Worst thing ever.,Negative
962,"Not bad, not great.",Neutral
963,"Not bad, not great.",Neutral
964,Never buying this again.,Negative
965,Never buying this again.,Negative
966,Absolutely thrilled with this!,Positive
967,Worst thing ever.,Negative
968,Absolutely thrilled with this!,Positive
969,It's okay.,Neutral
970,Really disappointed.,Negative
971,This is fantastic!,Positive
972,This is fantastic!,Positive
973,I hate this.,Negative
974,"Not bad, not great.",Neutral
975,Nothing special.,Neutral
976,Really disappointed.,Negative
977,Amazing experience!,Positive
978,Absolutely thrilled with this!,Positive
979,I love this!,Positive
980,"Well done, great job!",Positive
981,I love this!,Positive
982,Average at best.,Neutral
983,It's just fine.,Neutral
984,Really disappointed.,Negative
985,Really disappointed.,Negative
